,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,1879,1879.0,1879.0,1879.0
mean,2021-12-04 00:00:00,15.713145290047898,19.80840872804683,17.744544970729113
min,2019-05-10 00:00:00,0.0,0.0,0.0
25%,2020-08-21 12:00:00,0.0,0.0,0.0
50%,2021-12-04 00:00:00,0.0,0.0,0.0
75%,2023-03-18 12:00:00,0.0,0.0,0.0
max,2024-06-30 00:00:00,180.0,200.0,190.0
std,,37.25180117516575,47.30253516894216,42.17223345448962
