,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,1879,1879.0,1879.0,1879.0
mean,2021-12-04 00:00:00,11.428951569984035,14.651410324640766,13.04151144225652
min,2019-05-10 00:00:00,0.0,0.0,0.0
25%,2020-08-21 12:00:00,0.0,0.0,0.0
50%,2021-12-04 00:00:00,0.0,0.0,0.0
75%,2023-03-18 12:00:00,0.0,0.0,0.0
max,2024-06-30 00:00:00,150.0,180.0,165.0
std,,27.668433406206503,34.74880705855787,31.1583502664138
