,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1726.0,1726.0,1726.0,1728.0
mean,35.281901796060254,43.57021292004635,39.42098783314021,0.9988425925925926
std,12.468530251440024,13.938362528907314,12.955182948679843,0.03401083979580928
min,6.25,14.0625,12.5,0.0
25%,25.0,34.375,31.25,1.0
50%,34.375,40.625,37.5,1.0
75%,42.5,53.125,46.875,1.0
max,59.375,87.5,68.75,1.0
