,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,850.0,850.0,850.0,976.0
mean,19.5625,24.478676470588237,22.043014705882353,0.8709016393442623
std,8.537428205217669,8.804728271082332,8.672884560355401,0.33548068316491325
min,9.375,12.5,10.625,0.0
25%,12.5,18.125,15.625,1.0
50%,17.1875,21.875,20.3125,1.0
75%,25.0,31.25,28.125,1.0
max,40.625,43.75,42.5,1.0
