,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,976.0,976.0,976.0,976.0
mean,26.04091956967213,34.685258709016395,30.22829149590164,1.0
std,10.782710118206271,10.531845356160424,10.445112426875605,0.0
min,9.375,12.5,11.25,1.0
25%,16.25,27.5,21.875,1.0
50%,25.0,32.5,31.25,1.0
75%,31.25,43.75,37.5,1.0
max,50.0,56.25,53.125,1.0
