,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,105.0,105.0,105.0,976.0
mean,14.898809523809524,20.794642857142858,17.854166666666668,0.10758196721311475
std,2.571285083883297,2.5384026773686887,2.506402059138015,0.3100105762341813
min,12.5,17.5,15.625,0.0
25%,12.5,18.75,15.625,0.0
50%,15.625,18.75,17.1875,0.0
75%,15.625,21.875,18.75,0.0
max,18.75,25.0,21.875,1.0
