Date,Forecast
2025-06-16,225.27024841308594
2025-06-17,225.30482482910156
2025-06-18,225.3237762451172
2025-06-19,225.34556579589844
2025-06-20,225.3688201904297
2025-06-21,225.39239501953125
2025-06-22,225.41529846191406
2025-06-23,225.43775939941406
2025-06-24,225.45925903320312
2025-06-25,225.47984313964844
2025-06-26,225.49900817871094
2025-06-27,225.51687622070312
2025-06-28,225.53224182128906
2025-06-29,225.54689025878906
2025-06-30,225.56163024902344
2025-07-01,225.57595825195312
2025-07-02,225.5895233154297
2025-07-03,225.60235595703125
2025-07-04,225.61447143554688
2025-07-05,225.62599182128906
2025-07-06,225.6370849609375
2025-07-07,225.64764404296875
2025-07-08,225.65774536132812
2025-07-09,225.66729736328125
2025-07-10,225.67640686035156
2025-07-11,225.68515014648438
2025-07-12,225.69363403320312
2025-07-13,225.70175170898438
2025-07-14,225.7095489501953
2025-07-15,225.71694946289062
