Date,Forecast
2025-06-16,109.87861633300781
2025-06-17,109.76182556152344
2025-06-18,109.67652130126953
2025-06-19,109.60785675048828
2025-06-20,109.54826354980469
2025-06-21,109.49466705322266
2025-06-22,109.44540405273438
2025-06-23,109.39952850341797
2025-06-24,109.35652923583984
2025-06-25,109.31605529785156
2025-06-26,109.27783203125
2025-06-27,109.24163818359375
2025-06-28,109.20731353759766
2025-06-29,109.17463684082031
2025-06-30,109.14360809326172
2025-07-01,109.11428833007812
2025-07-02,109.0865707397461
2025-07-03,109.06037139892578
2025-07-04,109.03557586669922
2025-07-05,109.01210021972656
2025-07-06,108.98985290527344
2025-07-07,108.96875
2025-07-08,108.94873046875
2025-07-09,108.92971801757812
2025-07-10,108.91166687011719
2025-07-11,108.89451599121094
2025-07-12,108.87821960449219
2025-07-13,108.86272430419922
2025-07-14,108.84797668457031
2025-07-15,108.8339614868164
2025-07-16,108.82063293457031
2025-07-17,108.80792236328125
2025-07-18,108.79583740234375
2025-07-19,108.7843246459961
2025-07-20,108.77336120605469
2025-07-21,108.76290893554688
2025-07-22,108.75296020507812
2025-07-23,108.74346923828125
2025-07-24,108.73442840576172
2025-07-25,108.72579956054688
2025-07-26,108.71757507324219
2025-07-27,108.70972442626953
2025-07-28,108.7022476196289
2025-07-29,108.69510650634766
2025-07-30,108.68828582763672
2025-07-31,108.68179321289062
2025-08-01,108.67558288574219
2025-08-02,108.6696548461914
2025-08-03,108.66400146484375
2025-08-04,108.65859985351562
2025-08-05,108.6534423828125
2025-08-06,108.64852142333984
2025-08-07,108.64380645751953
2025-08-08,108.63931274414062
2025-08-09,108.63502502441406
2025-08-10,108.63092041015625
2025-08-11,108.62700653076172
2025-08-12,108.62326049804688
2025-08-13,108.61968231201172
2025-08-14,108.61626434326172
2025-08-15,108.61299133300781
2025-08-16,108.60986328125
2025-08-17,108.60688018798828
2025-08-18,108.60403442382812
2025-08-19,108.60130310058594
2025-08-20,108.59869384765625
2025-08-21,108.59619903564453
2025-08-22,108.59381103515625
2025-08-23,108.5915298461914
2025-08-24,108.58935546875
2025-08-25,108.58726501464844
2025-08-26,108.58527374267578
2025-08-27,108.58336639404297
2025-08-28,108.58154296875
2025-08-29,108.57979583740234
2025-08-30,108.578125
2025-08-31,108.5765380859375
2025-09-01,108.57499694824219
2025-09-02,108.57353973388672
2025-09-03,108.57215118408203
2025-09-04,108.57081604003906
2025-09-05,108.56953430175781
2025-09-06,108.56831359863281
2025-09-07,108.567138671875
2025-09-08,108.56602478027344
2025-09-09,108.56494903564453
2025-09-10,108.56392669677734
2025-09-11,108.56294250488281
2025-09-12,108.56201171875
2025-09-13,108.56111145019531
2025-09-14,108.56025695800781
2025-09-15,108.55943298339844
2025-09-16,108.55865478515625
2025-09-17,108.55789947509766
2025-09-18,108.55717468261719
2025-09-19,108.55648803710938
2025-09-20,108.55583190917969
2025-09-21,108.55520629882812
2025-09-22,108.55460357666016
2025-09-23,108.55401611328125
2025-09-24,108.553466796875
2025-09-25,108.55294036865234
2025-09-26,108.55243682861328
2025-09-27,108.55194854736328
2025-09-28,108.5514907836914
2025-09-29,108.55104064941406
2025-09-30,108.55062866210938
2025-10-01,108.55021667480469
2025-10-02,108.54981994628906
2025-10-03,108.54945373535156
2025-10-04,108.54910278320312
2025-10-05,108.54875183105469
2025-10-06,108.54843139648438
2025-10-07,108.5481185913086
2025-10-08,108.54782104492188
2025-10-09,108.54753112792969
2025-10-10,108.54725646972656
2025-10-11,108.5469970703125
2025-10-12,108.5467529296875
2025-10-13,108.5465087890625
2025-10-14,108.54627990722656
2025-10-15,108.54605865478516
2025-10-16,108.54584503173828
2025-10-17,108.54564666748047
2025-10-18,108.54545593261719
2025-10-19,108.54527282714844
2025-10-20,108.54508972167969
2025-10-21,108.54492950439453
2025-10-22,108.54476928710938
2025-10-23,108.54461669921875
2025-10-24,108.54446411132812
2025-10-25,108.54431915283203
2025-10-26,108.544189453125
2025-10-27,108.54405212402344
2025-10-28,108.54393005371094
2025-10-29,108.54381561279297
2025-10-30,108.543701171875
2025-10-31,108.54358673095703
2025-11-01,108.5434799194336
