Date,Forecast
2025-06-16,335.05804443359375
2025-06-17,335.06365966796875
2025-06-18,335.0869445800781
2025-06-19,335.09490966796875
2025-06-20,335.1088562011719
2025-06-21,335.1165771484375
2025-06-22,335.1259765625
2025-06-23,335.13250732421875
2025-06-24,335.1392822265625
2025-06-25,335.14459228515625
2025-06-26,335.149658203125
2025-06-27,335.1539306640625
2025-06-28,335.1578369140625
2025-06-29,335.1612243652344
2025-06-30,335.164306640625
2025-07-01,335.1669921875
2025-07-02,335.16943359375
2025-07-03,335.1716003417969
2025-07-04,335.17352294921875
2025-07-05,335.1752624511719
2025-07-06,335.17681884765625
2025-07-07,335.1781921386719
2025-07-08,335.179443359375
2025-07-09,335.1805419921875
2025-07-10,335.1815490722656
2025-07-11,335.1824645996094
2025-07-12,335.1832580566406
2025-07-13,335.1839904785156
2025-07-14,335.18463134765625
2025-07-15,335.18524169921875
