Date,Forecast
2025-09-15,46.95254898071289
2025-09-16,46.96299362182617
2025-09-17,46.97771453857422
2025-09-18,46.994476318359375
2025-09-19,47.01267623901367
2025-09-20,47.03191375732422
2025-09-21,47.05191421508789
2025-09-22,47.0726203918457
2025-09-23,47.093963623046875
2025-09-24,47.1154899597168
2025-09-25,47.13701248168945
2025-09-26,47.15814208984375
2025-09-27,47.17876434326172
2025-09-28,47.198760986328125
2025-09-29,47.217952728271484
2025-09-30,47.23617935180664
2025-10-01,47.25331497192383
2025-10-02,47.269264221191406
2025-10-03,47.28399658203125
2025-10-04,47.297523498535156
2025-10-05,47.309871673583984
2025-10-06,47.32108688354492
2025-10-07,47.33123016357422
2025-10-08,47.34037780761719
2025-10-09,47.34862518310547
2025-10-10,47.3560676574707
2025-10-11,47.3628044128418
2025-10-12,47.36891174316406
2025-10-13,47.37447738647461
2025-10-14,47.37956237792969
2025-10-15,47.38421630859375
2025-10-16,47.38848876953125
2025-10-17,47.39242172241211
2025-10-18,47.39604949951172
2025-10-19,47.39939880371094
2025-10-20,47.402503967285156
2025-10-21,47.40538024902344
2025-10-22,47.408050537109375
2025-10-23,47.4105339050293
2025-10-24,47.412837982177734
2025-10-25,47.414981842041016
2025-10-26,47.41696548461914
2025-10-27,47.41880798339844
2025-10-28,47.4205207824707
2025-10-29,47.422115325927734
2025-10-30,47.42359924316406
2025-10-31,47.42497634887695
2025-11-01,47.4262580871582
2025-11-02,47.427452087402344
2025-11-03,47.42856216430664
2025-11-04,47.429595947265625
2025-11-05,47.43056106567383
2025-11-06,47.43145751953125
2025-11-07,47.432289123535156
2025-11-08,47.433067321777344
2025-11-09,47.43378829956055
2025-11-10,47.43446350097656
2025-11-11,47.435089111328125
2025-11-12,47.435672760009766
2025-11-13,47.436214447021484
2025-11-14,47.43672180175781
2025-11-15,47.437191009521484
