Date,Forecast
2025-10-01,49.14670181274414
2025-10-02,49.0316162109375
2025-10-03,48.868377685546875
2025-10-04,48.67387390136719
2025-10-05,48.46086883544922
2025-10-06,48.23832702636719
2025-10-07,48.0115852355957
2025-10-08,47.78413009643555
2025-10-09,47.55952835083008
2025-10-10,47.34033203125
2025-10-11,47.12834930419922
2025-10-12,46.925010681152344
2025-10-13,46.73101806640625
2025-10-14,46.54689407348633
2025-10-15,46.37281799316406
2025-10-16,46.20970153808594
2025-10-17,46.0572624206543
2025-10-18,45.91520690917969
2025-10-19,45.783287048339844
2025-10-20,45.66106414794922
2025-10-21,45.54793167114258
2025-10-22,45.44353103637695
2025-10-23,45.34714126586914
2025-10-24,45.25799560546875
2025-10-25,45.17558670043945
2025-10-26,45.099464416503906
2025-10-27,45.029300689697266
2025-10-28,44.96470260620117
2025-10-29,44.90541458129883
2025-10-30,44.851261138916016
2025-10-31,44.80168914794922
2025-11-01,44.756412506103516
2025-11-02,44.71508026123047
2025-11-03,44.677467346191406
2025-11-04,44.6431770324707
2025-11-05,44.61198043823242
2025-11-06,44.58361053466797
2025-11-07,44.55783462524414
2025-11-08,44.53445816040039
2025-11-09,44.513282775878906
2025-11-10,44.49411392211914
2025-11-11,44.4767951965332
2025-11-12,44.46113967895508
2025-11-13,44.4470100402832
2025-11-14,44.434288024902344
2025-11-15,44.422821044921875
2025-11-16,44.41251754760742
2025-11-17,44.40325927734375
2025-11-18,44.39493942260742
2025-11-19,44.387489318847656
2025-11-20,44.38081359863281
2025-11-21,44.374839782714844
2025-11-22,44.36949920654297
2025-11-23,44.36473846435547
2025-11-24,44.36049270629883
2025-11-25,44.35670471191406
2025-11-26,44.35334014892578
2025-11-27,44.3503532409668
2025-11-28,44.34770202636719
2025-11-29,44.34535217285156
2025-11-30,44.343265533447266
