Date,Forecast
2025-06-16,121.48175048828125
2025-06-17,120.66046905517578
2025-06-18,120.53856658935547
2025-06-19,119.67546081542969
2025-06-20,121.06106567382812
2025-06-21,120.77423095703125
2025-06-22,120.89511108398438
2025-06-23,121.08634948730469
2025-06-24,121.38699340820312
2025-06-25,121.45138549804688
2025-06-26,121.72135162353516
2025-06-27,121.93539428710938
2025-06-28,122.10565185546875
2025-06-29,122.29032897949219
2025-06-30,122.48056030273438
2025-07-01,122.62564086914062
2025-07-02,122.77601623535156
2025-07-03,122.90569305419922
2025-07-04,123.00833129882812
2025-07-05,123.09677124023438
2025-07-06,123.17020416259766
2025-07-07,123.2248306274414
2025-07-08,123.26899719238281
2025-07-09,123.3030776977539
2025-07-10,123.32884979248047
