Date,Forecast
2025-06-16,135.0574493408203
2025-06-17,135.05955505371094
2025-06-18,135.06759643554688
2025-06-19,135.08624267578125
2025-06-20,135.09031677246094
2025-06-21,135.09808349609375
2025-06-22,135.10797119140625
2025-06-23,135.11343383789062
2025-06-24,135.12054443359375
2025-06-25,135.1277313232422
2025-06-26,135.1337127685547
2025-06-27,135.14031982421875
2025-06-28,135.14671325683594
2025-06-29,135.1527557373047
2025-06-30,135.1590118408203
2025-07-01,135.16514587402344
2025-07-02,135.17120361328125
2025-07-03,135.17733764648438
2025-07-04,135.18344116210938
2025-07-05,135.1895294189453
2025-07-06,135.19566345214844
2025-07-07,135.20184326171875
2025-07-08,135.20806884765625
2025-07-09,135.21438598632812
2025-07-10,135.2207794189453
2025-07-11,135.22723388671875
2025-07-12,135.2338104248047
2025-07-13,135.24049377441406
2025-07-14,135.24732971191406
2025-07-15,135.2543182373047
