,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1288,1288.0,1288.0,1288.0,1288.0
mean,2021-10-30 08:34:17.142857216,36.36282026397515,43.97758152173913,40.15806968167702,1.0
min,2018-09-15 00:00:00,6.25,12.5,9.375,1.0
25%,2019-11-22 18:00:00,21.875,31.25,26.5625,1.0
50%,2021-10-30 12:00:00,37.5,45.0,42.1875,1.0
75%,2023-10-07 06:00:00,50.0,56.25,51.953125,1.0
max,2024-12-15 00:00:00,75.0,81.25,78.125,1.0
std,,16.475809162454137,16.695253590659874,16.436555002714883,0.0
