,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,854,854.0,854.0,854.0,854.0
mean,2021-10-15 20:34:17.142856960,29.33255269320843,37.587822014051525,33.437865925058546,1.0
min,2018-09-16 00:00:00,12.5,15.625,14.0625,1.0
25%,2019-10-31 06:00:00,25.0,31.25,28.125,1.0
50%,2021-10-16 00:00:00,31.25,37.5,31.875,1.0
75%,2023-09-30 18:00:00,37.5,43.75,40.625,1.0
max,2024-11-15 00:00:00,50.0,62.5,56.25,1.0
std,,10.7608688496755,10.895506139841011,10.547996723646698,0.0
