Predictions,Lower Bound,Upper Bound
161.61536,151.28687,171.94385
162.04045,151.71194,172.36896
161.70117,151.37268,172.02966
160.90631,150.57782,171.2348
159.84747,149.51898,170.17596
158.53546,148.20697,168.86395
157.16757,146.83908,167.49606
155.7554,145.42691,166.0839
154.34894,144.02045,164.67743
152.90144,142.57294,163.22995
151.47047,141.14197,161.79898
150.0987,139.7702,160.42719
148.90092,138.57242,159.22943
147.69269,137.3642,158.02118
146.53786,136.20935,156.86636
