Predictions,Lower Bound,Upper Bound
57.94903,54.809185,61.08888
58.220238,55.08039,61.360085
58.578537,55.43869,61.718384
58.96653,55.826683,62.106377
59.371685,56.23184,62.51153
59.76771,56.627865,62.90756
60.15631,57.016464,63.296158
60.545467,57.40562,63.685314
60.90409,57.764244,64.04394
61.264534,58.124687,64.40438
61.62386,58.484013,64.76371
61.98185,58.842003,65.1217
62.338264,59.198418,65.47811
62.694286,59.55444,65.83414
63.03305,59.893204,66.1729
