Predictions,Lower Bound,Upper Bound
41.32563,39.224823,43.426437
41.151405,39.0506,43.252213
40.91295,38.81214,43.013756
40.64378,38.542973,42.744587
40.362564,38.261757,42.46337
40.0786,37.977795,42.17941
39.79789,37.697083,41.898697
39.526035,37.42523,41.626842
39.26631,37.165504,41.36712
39.020706,36.9199,41.121513
38.790432,36.689625,40.89124
38.575344,36.474537,40.67615
38.3742,36.27339,40.475006
38.18622,36.08541,40.287025
38.01069,35.90988,40.111496
