,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1573.0,1573.0,1573.0,1573.0
mean,28.3932930705658,40.48664971392244,34.42720915448188,1.0
std,13.07767000508957,16.98669625460777,14.620744426598325,0.0
min,10.0,11.0,0.0,1.0
25%,20.0,29.0,25.0,1.0
50%,25.0,40.0,32.5,1.0
75%,30.0,50.0,40.0,1.0
max,80.0,100.0,90.0,1.0
