,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,841.0,841.0,841.0,841.0
mean,23.745838287752676,31.513020214030917,27.608787158145063,1.0
std,6.436186318480764,9.66464277224291,7.609115332698742,0.0
min,10.0,13.0,12.5,1.0
25%,20.0,25.0,23.0,1.0
50%,22.0,30.0,27.0,1.0
75%,27.5,38.0,31.0,1.0
max,70.0,80.0,75.0,1.0
