,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,2850.0,2850.0,2850.0,2909.0
mean,33.04568421052632,56.37266666666667,44.756157894736845,0.979718116191131
std,15.4952174702134,23.067512096724133,18.12166479091519,0.14098709889479927
min,10.0,20.0,0.0,0.0
25%,22.0,40.0,32.5,1.0
50%,30.0,50.0,42.0,1.0
75%,40.0,70.0,52.5,1.0
max,120.0,160.0,130.0,1.0
