,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,372.0,372.0,372.0,372.0
mean,28.051075268817204,42.20967741935484,35.130376344086024,1.0
std,7.662354076895048,8.11634488813164,6.612376443454427,0.0
min,10.0,28.0,25.0,1.0
25%,22.0,35.0,30.0,1.0
50%,30.0,40.0,35.0,1.0
75%,30.0,50.0,40.0,1.0
max,50.0,60.0,55.0,1.0
