,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,360.0,360.0,360.0,360.0
mean,24.54361111111111,31.522222222222222,28.05902777777778,1.0
std,7.76900227791865,11.02463968956544,9.058046817282026,0.0
min,10.0,13.0,12.5,1.0
25%,20.0,24.0,21.5,1.0
50%,25.0,30.0,27.5,1.0
75%,30.0,40.0,33.0,1.0
max,80.0,100.0,90.0,1.0
