Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-05-28,9000.0
,F & V Market Ganderbal,Cherry,Stella,2025-05-28,12500.0
,F & V Market Ganderbal,Cherry,Queensland,2025-05-28,15000.0
,F & V Market Ganderbal,Cherry,Bing,2025-05-28,12500.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-05-28,7500.0
,F&V Mandi Narwal,Cherry,Awal Number,2025-05-28,12500.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-28,10000.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-05-28,12800.0
,Bangalore,Cherry,Awal Number,2025-05-28,30000.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-28,14000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-27,14000.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-05-27,12500.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-27,12500.0
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-05-27,4250.0
,F & V Market Ganderbal,Cherry,Queensland,2025-05-27,14000.0
,F & V Market Ganderbal,Cherry,Stella,2025-05-27,13500.0
,F & V Market Ganderbal,Cherry,Bing,2025-05-27,14000.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-05-27,8000.0
,Kolkata Mandi,Cherry,Awal Number,2025-05-27,0.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-27,14000.0
,F & V Market Ganderbal,Cherry,Bigarreau Napoleon (Double),2025-05-26,4250.0
,F & V Market Ganderbal,Cherry,Stella,2025-05-26,14000.0
,F & V Market Ganderbal,Cherry,Bing,2025-05-26,14000.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-05-26,8000.0
,F & V Market Ganderbal,Cherry,Italy Awal Number,2025-05-26,12500.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-26,11000.0
,Bangalore,Cherry,Awal Number,2025-05-26,32500.0
,Bangalore,Cherry,Awal Number,2025-05-26,32500.0
,Delhi Mandi,Cherry,Guigne Noir Hative (Makhmali),2025-05-26,11500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-26,14000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-24,14000.0
,Bangalore,Cherry,Awal Number,2025-05-24,32500.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-24,12000.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-24,14000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-23,14000.0
,Bangalore,Cherry,Awal Number,2025-05-23,32500.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-23,6000.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-23,15000.0
,F & V Market Ganderbal,Cherry,Guigne Noir Hative (Makhmali),2025-05-22,9500.0
,F & V Market Ganderbal,Cherry,Italy Awal Number,2025-05-22,15000.0
,F & V Market Ganderbal,Cherry,Awal Number,2025-05-22,7500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-22,14000.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-22,12500.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-22,17000.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-22,32500.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-21,32500.0
