,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1288,1288.0,1288.0,1288.0,1288.0
mean,2021-10-30 08:34:17.142857216,34.444633152173914,42.66110248447205,38.55284355590062,1.0
min,2018-09-15 00:00:00,6.25,15.625,12.5,1.0
25%,2019-11-22 18:00:00,21.875,31.25,25.0,1.0
50%,2021-10-30 12:00:00,37.5,45.0,40.625,1.0
75%,2023-10-07 06:00:00,43.75,53.125,48.4375,1.0
max,2024-12-15 00:00:00,68.75,81.25,75.0,1.0
std,,16.005300617901476,14.49637349780211,15.028758111058425,0.0
