,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,856,856.0,856.0,856.0,856.0
mean,2021-10-13 05:22:59.439252224,29.388872663551403,36.19304906542056,32.75773948598131,1.0
min,2018-09-15 00:00:00,12.5,15.625,14.0625,1.0
25%,2019-10-30 18:00:00,18.75,25.0,21.875,1.0
50%,2021-10-15 12:00:00,25.0,37.5,31.25,1.0
75%,2023-09-30 06:00:00,37.5,43.75,40.625,1.0
max,2024-11-15 00:00:00,53.125,59.375,56.25,1.0
std,,11.66295716150145,11.544292652911624,11.441782878540188,0.0
