,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1063,1063.0,1063.0,1063.0,1063.0
mean,2021-10-07 16:43:48.033866496,37.99035747883349,45.40186970837253,41.696084195672626,1.0
min,2018-09-01 00:00:00,12.5,21.875,18.75,1.0
25%,2019-10-27 12:00:00,26.5625,34.375,31.25,1.0
50%,2021-10-08 00:00:00,37.5,45.0,42.1875,1.0
75%,2023-09-19 12:00:00,50.0,56.25,53.125,1.0
max,2024-11-15 00:00:00,58.75,68.75,62.5,1.0
std,,13.377669310142315,12.61771848865514,12.801468246263354,0.0
