,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,335,335.0,335.0,335.0
mean,2022-03-06 04:35:06.268656640,115.07462686567165,137.98507462686567,126.6268656716418
min,2019-01-06 00:00:00,60.0,70.0,65.0
25%,2020-06-20 12:00:00,70.0,90.0,80.0
50%,2022-05-21 00:00:00,100.0,130.0,120.0
75%,2023-07-06 12:00:00,140.0,175.0,160.0
max,2025-06-11 00:00:00,240.0,300.0,250.0
std,,43.88755140866005,55.49221570735107,49.35476965857266
