,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,344,344.0,344.0,344.0
mean,2022-04-11 00:00:00,81.27906976744185,100.15988372093024,90.4796511627907
min,2019-05-20 00:00:00,40.0,50.0,45.0
25%,2020-06-22 18:00:00,50.0,60.0,55.0
50%,2022-06-04 12:00:00,70.0,90.0,85.0
75%,2023-07-08 06:00:00,100.0,120.0,110.0
max,2025-06-20 00:00:00,170.0,190.0,180.0
std,,35.433064613956404,39.422441345242596,37.07001717883188
