,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,344,344.0,344.0,344.0
mean,2022-04-11 00:00:00,54.0406976744186,69.98546511627907,62.020348837209305
min,2019-05-20 00:00:00,20.0,35.0,30.0
25%,2020-06-22 18:00:00,40.0,50.0,45.0
50%,2022-06-04 12:00:00,40.0,60.0,50.0
75%,2023-07-08 06:00:00,70.0,85.0,75.0
max,2025-06-20 00:00:00,130.0,150.0,140.0
std,,24.03431889284626,28.85193564483309,26.29385729892789
