,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,798,798.0,798.0,798.0
mean,2019-07-23 23:36:32.481203200,63.1077694235589,83.08897243107769,73.17167919799499
min,2012-06-10 00:00:00,20.0,25.0,22.5
25%,2016-06-24 00:00:00,40.0,50.0,45.0
50%,2019-06-24 12:00:00,50.0,80.0,65.0
75%,2022-06-26 18:00:00,80.0,100.0,90.0
max,2025-06-10 00:00:00,200.0,220.0,210.0
std,,31.239155846541124,41.25479604767486,36.06405461215989
