,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,448,448.0,448.0,448.0
mean,2020-04-23 11:40:42.857142784,53.080357142857146,71.76339285714286,62.546875
min,2015-05-20 00:00:00,20.0,25.0,22.5
25%,2017-06-16 18:00:00,40.0,50.0,45.0
50%,2020-06-03 12:00:00,50.0,70.0,60.0
75%,2023-05-22 06:00:00,60.0,90.0,75.0
max,2025-06-20 00:00:00,110.0,140.0,125.0
std,,21.44912857555493,28.989580772830568,24.664755154107663
