,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,360,360.0,360.0,360.0
mean,2018-10-15 04:48:00,72.11111111111111,94.26388888888889,83.09722222222223
min,2012-06-10 00:00:00,20.0,25.0,22.5
25%,2015-06-27 18:00:00,50.0,60.0,55.0
50%,2018-12-27 00:00:00,60.0,80.0,70.0
75%,2022-06-27 06:00:00,90.0,120.0,100.0
max,2024-07-15 00:00:00,200.0,220.0,210.0
std,,36.80041235824571,46.23965458503782,41.1506369649921
