,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,438,438.0,438.0,438.0
mean,2020-03-11 14:04:55.890411008,85.75342465753425,107.27168949771689,96.65525114155251
min,2015-05-20 00:00:00,25.0,30.0,27.5
25%,2017-06-14 06:00:00,60.0,80.0,70.0
50%,2020-05-29 12:00:00,80.0,100.0,90.0
75%,2022-06-25 18:00:00,90.0,120.0,105.0
max,2025-06-10 00:00:00,190.0,260.0,220.0
std,,37.41355772639147,48.118243683358834,42.50016672257982
