,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,371,371.0,371.0,371.0
mean,2018-12-26 09:22:48.194070016,162.00808625336927,204.177897574124,179.54851752021563
min,2012-06-10 00:00:00,50.0,60.0,55.0
25%,2015-06-30 12:00:00,100.0,140.0,125.0
50%,2019-06-15 00:00:00,150.0,180.0,150.0
75%,2022-07-05 12:00:00,200.0,220.0,210.0
max,2025-06-20 00:00:00,300.0,700.0,350.0
std,,72.20052735715993,102.84236505790302,80.52141106369291
