,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,438,438.0,438.0,438.0
mean,2020-03-11 14:04:55.890411008,119.47488584474885,144.90867579908675,132.3744292237443
min,2015-05-20 00:00:00,45.0,50.0,47.5
25%,2017-06-14 06:00:00,90.0,100.0,95.0
50%,2020-05-29 12:00:00,120.0,140.0,130.0
75%,2022-06-25 18:00:00,150.0,170.0,160.0
max,2025-06-10 00:00:00,250.0,300.0,275.0
std,,46.60263945305582,57.536106403882684,51.75314566340783
