,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,354,354.0,354.0,354.0
mean,2022-05-04 02:14:14.237288192,125.7909604519774,155.6497175141243,140.819209039548
min,2019-05-10 00:00:00,70.0,80.0,75.0
25%,2020-06-15 06:00:00,100.0,130.0,116.25
50%,2022-05-30 12:00:00,120.0,160.0,140.0
75%,2024-05-14 18:00:00,130.0,170.0,153.75
max,2025-06-20 00:00:00,220.0,250.0,235.0
std,,34.736096575568375,40.218967414185535,36.896702501216296
