,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,354,354.0,354.0,354.0
mean,2022-05-04 02:14:14.237288192,66.90677966101696,86.77966101694915,76.86440677966101
min,2019-05-10 00:00:00,30.0,50.0,40.0
25%,2020-06-15 06:00:00,50.0,70.0,60.0
50%,2022-05-30 12:00:00,60.0,82.5,70.0
75%,2024-05-14 18:00:00,80.0,100.0,90.0
max,2025-06-20 00:00:00,150.0,180.0,165.0
std,,25.08274825163694,27.00219346663176,25.717438860530216
