,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,344,344.0,344.0,344.0
mean,2022-04-01 00:00:00,92.86337209302326,118.19767441860465,105.44186046511628
min,2019-05-10 00:00:00,50.0,60.0,55.0
25%,2020-06-12 18:00:00,73.75,90.0,81.875
50%,2022-05-25 12:00:00,90.0,110.0,95.0
75%,2023-06-28 06:00:00,100.0,145.0,125.0
max,2025-06-10 00:00:00,180.0,200.0,190.0
std,,29.381604014843198,38.847558772260605,33.5668402079069
