,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,1200,1200.0,1200.0,1200.0,1200.0
mean,2020-05-31 12:00:00,16.79453125,22.444791666666667,19.729036458333333,0.9983333333333333
min,2015-11-01 00:00:00,-12.5,-18.75,-15.625,0.0
25%,2017-11-30 18:00:00,9.375,15.625,12.5,1.0
50%,2020-05-31 12:00:00,15.625,21.875,18.75,1.0
75%,2022-11-30 06:00:00,23.125,28.125,26.5625,1.0
max,2024-12-30 00:00:00,37.5,43.75,42.5,1.0
std,,8.209990425053096,9.3353456015483,8.906884642751121,0.0408078009626231
