,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,4184,4184.0,4184.0,4184.0,4184.0
mean,2020-05-21 17:02:52.084130048,34.15548816921606,41.88478429732314,38.21556823613767,1.0
min,2015-08-01 00:00:00,9.375,12.5,10.9375,1.0
25%,2017-11-21 18:00:00,21.875,28.125,25.0,1.0
50%,2020-05-22 12:00:00,31.25,40.625,37.5,1.0
75%,2022-11-21 06:00:00,43.75,56.25,50.0,1.0
max,2025-02-28 00:00:00,75.0,87.5,81.25,1.0
std,,13.49129399607525,15.565708160129246,14.47312767379909,0.0
