,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg),Mask
count,4072,4048.0,4048.0,4048.0,4072.0
mean,2020-06-03 15:46:19.567780096,33.100991230237156,41.070513216403164,37.0762876729249,0.993860510805501
min,2015-08-15 00:00:00,-6.25,0.0,-3.125,0.0
25%,2017-12-05 18:00:00,22.5,28.125,26.5625,1.0
50%,2020-08-14 12:00:00,31.25,37.5,34.375,1.0
75%,2022-11-21 06:00:00,43.75,50.0,48.0,1.0
max,2025-02-28 00:00:00,75.0,93.75,84.375,1.0
std,,13.742015396180497,17.027112235993417,15.102653076189794,0.0781235861402115
