,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,311,311.0,311.0,311.0
mean,2022-04-01 21:04:03.086816768,46.752411575562704,68.58520900321544,57.52411575562701
min,2019-05-13 00:00:00,25.0,45.0,35.0
25%,2020-06-12 12:00:00,40.0,60.0,50.0
50%,2022-05-27 00:00:00,50.0,70.0,55.0
75%,2023-06-26 12:00:00,50.0,80.0,65.0
max,2025-06-10 00:00:00,80.0,100.0,90.0
std,,11.19042443360629,14.292733543083914,12.264697454526694
