,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,282,282.0,282.0,282.0
mean,2021-12-04 12:00:00,124.71631205673759,171.32978723404256,147.3581560283688
min,2019-05-13 00:00:00,80.0,100.0,90.0
25%,2020-06-05 06:00:00,100.0,150.0,120.0
50%,2021-12-04 12:00:00,120.0,170.0,140.0
75%,2023-06-04 18:00:00,140.0,200.0,170.0
max,2024-06-28 00:00:00,240.0,280.0,250.0
std,,34.45443145444274,37.50095276546396,35.18668191927202
