,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,311,311.0,311.0,311.0
mean,2022-04-01 21:04:03.086816768,82.47588424437299,121.06109324758843,101.7524115755627
min,2019-05-13 00:00:00,50.0,70.0,60.0
25%,2020-06-12 12:00:00,70.0,100.0,85.0
50%,2022-05-27 00:00:00,80.0,120.0,100.0
75%,2023-06-26 12:00:00,100.0,140.0,120.0
max,2025-06-10 00:00:00,180.0,230.0,205.0
std,,23.344790752199444,29.12153837815976,25.442530793885286
