,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,321,321.0,321.0,321.0
mean,2022-05-08 08:17:56.635514112,123.80062305295951,170.70093457943926,146.66666666666666
min,2019-05-13 00:00:00,80.0,100.0,90.0
25%,2020-06-15 00:00:00,100.0,150.0,125.0
50%,2022-06-01 00:00:00,120.0,170.0,140.0
75%,2024-05-18 00:00:00,140.0,190.0,170.0
max,2025-06-20 00:00:00,240.0,280.0,250.0
std,,33.039429090264136,35.61150137769864,33.48429358171778
