,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,282,282.0,282.0,282.0
mean,2021-12-04 12:00:00,81.98581560283688,120.46099290780141,101.20567375886525
min,2019-05-13 00:00:00,50.0,70.0,60.0
25%,2020-06-05 06:00:00,70.0,100.0,85.0
50%,2021-12-04 12:00:00,80.0,120.0,100.0
75%,2023-06-04 18:00:00,90.0,140.0,120.0
max,2024-06-28 00:00:00,180.0,230.0,205.0
std,,23.5344786262171,29.814973364620766,25.88573790272614
