,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,282,282.0,282.0,282.0
mean,2021-12-04 12:00:00,46.01063829787234,66.36524822695036,56.02836879432624
min,2019-05-13 00:00:00,25.0,45.0,35.0
25%,2020-06-05 06:00:00,40.0,60.0,50.0
50%,2021-12-04 12:00:00,45.0,65.0,53.75
75%,2023-06-04 18:00:00,50.0,70.0,65.0
max,2024-06-28 00:00:00,80.0,100.0,90.0
std,,11.23779972466248,12.76664072568,11.749047519454349
