,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,515,515.0,515.0,515.0
mean,2020-06-14 11:22:15.145631232,79.44660194174757,133.27184466019418,106.59708737864078
min,2016-05-15 00:00:00,30.0,40.0,37.5
25%,2018-05-29 12:00:00,50.0,90.0,75.0
50%,2020-06-13 00:00:00,70.0,140.0,100.0
75%,2022-06-26 12:00:00,100.0,160.0,130.0
max,2024-07-10 00:00:00,220.0,300.0,240.0
std,,42.261398930916265,55.2719126000367,46.01281638473974
