,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,552,552.0,552.0,552.0
mean,2020-10-14 00:46:57.391304448,80.58876811594203,134.82789855072463,107.91213768115942
min,2016-05-15 00:00:00,30.0,40.0,37.5
25%,2018-06-07 18:00:00,50.0,100.0,78.75
50%,2020-07-01 12:00:00,70.0,140.0,100.0
75%,2023-05-27 06:00:00,100.0,170.0,140.0
max,2025-06-20 00:00:00,220.0,300.0,240.0
std,,41.12491815894016,54.27811440181864,44.95283853884761
