,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,540,540.0,540.0,540.0
mean,2020-09-10 05:36:00,53.18518518518518,87.87037037037037,70.30555555555556
min,2016-05-15 00:00:00,20.0,30.0,25.0
25%,2018-06-04 18:00:00,30.0,60.0,45.0
50%,2020-06-25 12:00:00,40.0,80.0,60.0
75%,2023-05-20 06:00:00,60.0,100.0,80.0
max,2025-06-10 00:00:00,200.0,300.0,250.0
std,,34.50878411152993,43.37567108602618,38.36463525299359
