,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,550,550.0,550.0,550.0
mean,2020-10-11 20:33:09.818181632,116.01818181818182,167.95454545454547,141.95454545454547
min,2016-05-15 00:00:00,50.0,70.0,60.0
25%,2018-06-07 06:00:00,90.0,130.0,110.0
50%,2020-06-30 12:00:00,100.0,160.0,132.5
75%,2023-05-27 18:00:00,140.0,200.0,167.5
max,2025-06-20 00:00:00,250.0,350.0,275.0
std,,41.74538614562999,53.81990923045517,46.410771150184104
