,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,513,513.0,513.0,513.0
mean,2020-06-11 16:00:00,51.94931773879142,86.45224171539961,68.96686159844054
min,2016-05-15 00:00:00,20.0,30.0,25.0
25%,2018-05-29 00:00:00,30.0,60.0,45.0
50%,2020-06-12 00:00:00,40.0,80.0,60.0
75%,2022-06-26 00:00:00,60.0,100.0,75.0
max,2024-07-10 00:00:00,200.0,300.0,250.0
std,,34.92739909500023,43.94139118442553,38.8306226975117
