,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
count,513,513.0,513.0,513.0
mean,2020-06-11 16:00:00,113.93762183235867,165.85769980506822,139.8635477582846
min,2016-05-15 00:00:00,50.0,70.0,60.0
25%,2018-05-29 00:00:00,80.0,130.0,110.0
50%,2020-06-12 00:00:00,100.0,160.0,130.0
75%,2022-06-26 00:00:00,120.0,200.0,155.0
max,2024-07-10 00:00:00,250.0,350.0,275.0
std,,42.08427194468882,54.222534307518494,46.74023227552552
