Market,Variety,Grade,Model,MSE,MAE
Pulwama_Prichoo,Delicious,B,prophet,120.4555652,9.355326703
Pulwama_Prichoo,Delicious,B,rf,12.61637556,1.918624038
Pulwama_Prichoo,Delicious,B,sarima,187.1652304,10.53997126
Pulwama_Prichoo,Delicious,B,transformer,6.464244629,1.181595739
Pulwama_Prichoo,Delicious,B,xgb,12.98891418,2.464267751
Pulwama_Prichoo,Kullu Delicious,A,lstm,14.15550497,2.312021329
Pulwama_Prichoo,Kullu Delicious,A,prophet,302.3790685,16.37313197
Pulwama_Prichoo,Kullu Delicious,A,rf,19.49969009,2.270493232
Pulwama_Prichoo,Kullu Delicious,A,sarima,51.97092885,5.24176837
Pulwama_Prichoo,Kullu Delicious,A,transformer,16.99574522,2.886354907
Pulwama_Prichoo,Kullu Delicious,A,xgb,18.98836572,2.269357189
Pulwama_Prichoo,Kullu Delicious,B,lstm,5.948745211,1.60741193
Pulwama_Prichoo,Kullu Delicious,B,prophet,325.5876396,17.33740557
Pulwama_Prichoo,Kullu Delicious,B,rf,12.15632037,1.810273705
Pulwama_Prichoo,Kullu Delicious,B,sarima,48.96631661,5.0592413
Pulwama_Prichoo,Kullu Delicious,B,transformer,7.370127054,1.856731221
Pulwama_Prichoo,Kullu Delicious,B,xgb,15.99191857,3.319377284
Shopian,American,A,lstm,1.405111925,0.554715884
Shopian,American,A,prophet,260.7505874,13.14311722
Shopian,American,A,rf,12.15546318,2.754989045
Shopian,American,A,sarima,63.36137078,6.060113894
Shopian,American,A,transformer,4.190388968,1.798067061
Shopian,American,A,xgb,14.49761897,2.939222523
Shopian,American,B,lstm,1.599458405,0.522846801
Shopian,American,B,prophet,143.3337314,10.41275727
Shopian,American,B,rf,10.66441588,2.258405317
Shopian,American,B,sarima,80.30929194,8.722675245
Shopian,American,B,transformer,3.26712467,1.617090526
Shopian,American,B,xgb,35.00060922,5.295527427
Shopian,Delicious,A,lstm,2.544284178,0.812971097
Shopian,Delicious,A,prophet,344.997408,16.32078159
Shopian,Delicious,A,rf,6.028711764,1.57966137
Shopian,Delicious,A,sarima,77.45948638,8.5620292
Shopian,Delicious,A,transformer,2.156239642,0.838145183
Shopian,Delicious,A,xgb,6.279959144,1.569589721
Shopian,Delicious,B,lstm,2.550923074,0.8166802
Shopian,Delicious,B,prophet,109.5121775,8.603649567
Shopian,Delicious,B,rf,3.228540693,1.066755386
Shopian,Delicious,B,sarima,23.77326701,4.287749175
Shopian,Delicious,B,transformer,2.747411793,0.99984671
Shopian,Delicious,B,xgb,3.265751487,1.063263151
Shopian,Kullu,A,lstm,8.475225006,1.26996049
Shopian,Kullu,A,prophet,623.5563573,24.17631865
Shopian,Kullu,A,rf,17.48122654,2.29365849
Shopian,Kullu,A,sarima,136.7255245,8.91634884
Shopian,Kullu,A,transformer,9.154564005,1.750090903
Shopian,Kullu,A,xgb,18.24310956,2.249361536
Shopian,Kullu,B,lstm,2.268930674,0.507607185
Shopian,Kullu,B,prophet,196.2164496,13.04238763
Shopian,Kullu,B,rf,5.72078924,0.841340334
Shopian,Kullu,B,sarima,9.448101765,2.547458705
Shopian,Kullu,B,transformer,2.315483125,0.741276645
Shopian,Kullu,B,xgb,6.69012114,0.771346797
Shopian,Maharaji,A,lstm,1.25527825,1.120392007
Shopian,Maharaji,A,prophet,60.29413446,6.877123474
Shopian,Maharaji,A,rf,1.620517381,0.254771922
Shopian,Maharaji,A,sarima,7.940463366,2.593093558
Shopian,Maharaji,A,transformer,2.406969774,1.551441193
Shopian,Maharaji,A,xgb,2.968533956,0.312551577
Shopian,Maharaji,B,lstm,0.134309495,0.284165655
Shopian,Maharaji,B,prophet,87.98294386,7.490486513
Shopian,Maharaji,B,rf,1.20997516,0.239956361
Shopian,Maharaji,B,sarima,2.503511962,1.241412587
Shopian,Maharaji,B,transformer,0.721003559,0.817069171
Shopian,Maharaji,B,xgb,1.593377055,0.280875738
Sopore,American,A,lstm,10.10671736,2.25971432
Sopore,American,A,prophet,459.4880101,16.66138544
Sopore,American,A,rf,28.13361486,4.021225232
Sopore,American,A,sarima,131.8108965,9.998945579
Sopore,American,A,transformer,17.26740807,3.217990894
Sopore,American,A,xgb,22.93505558,3.422555959
Sopore,American,B,lstm,30.01337554,3.827894238
Sopore,American,B,prophet,379.1087186,16.51816703
Sopore,American,B,rf,71.63766342,6.776484515
Sopore,American,B,sarima,213.848205,12.83863237
Sopore,American,B,transformer,64.45452029,6.840920176
Sopore,American,B,xgb,115.8510734,8.809980541
Sopore,Delicious,A,lstm,11.01086444,2.121782791
Sopore,Delicious,A,prophet,487.4622972,16.37249031
Sopore,Delicious,A,rf,12.67909063,2.469689556
Sopore,Delicious,A,sarima,93.91354599,8.843739772
Sopore,Delicious,A,transformer,18.59922386,3.436685682
Sopore,Delicious,A,xgb,13.95491606,2.462430723
Sopore,Delicious,B,lstm,26.39311378,3.984067834
Sopore,Delicious,B,prophet,408.5302626,17.77309748
Sopore,Delicious,B,rf,39.69986018,5.219024419
Sopore,Delicious,B,sarima,300.4432523,14.73549762
Sopore,Delicious,B,transformer,39.73034759,5.082049568
Sopore,Delicious,B,xgb,43.59308589,5.298571128
Sopore,Maharaji,A,lstm,0.044492289,0.129650286
Sopore,Maharaji,A,prophet,9.584662584,2.740138201
Sopore,Maharaji,A,rf,1.177110906,0.526914865
Sopore,Maharaji,A,sarima,0.044801048,0.176231483
Sopore,Maharaji,A,transformer,0.061937953,0.193069701
Sopore,Maharaji,A,xgb,1.675504931,0.66198918
Sopore,Maharaji,B,lstm,0.071277495,0.197446632
Sopore,Maharaji,B,prophet,13.93689709,3.105533788
Sopore,Maharaji,B,rf,0.518702247,0.42625364
Sopore,Maharaji,B,sarima,0.028748008,0.145481576
Sopore,Maharaji,B,transformer,0.704547739,0.78353124
Sopore,Maharaji,B,xgb,0.830221623,0.589915848
